priority,domain,dataset_name,source_candidate,source_url,api_status,auth_key_required,account_required,approval_required,free_status,refresh_cycle,spatial_type,map_ready,env_var_name,initial_dev_method,target_screen,notes
A,기준공간,금천구 행정동 경계,서울 열린데이터/SGIS,https://data.seoul.go.kr/,확인필요,아니오,확인필요,확인필요,무료,연간,Polygon,예,,공개 파일 또는 수동 업로드,공통 지도 기본 레이어,행정동별 집계 기준으로 우선 확보
A,기준공간,집계구 경계,SGIS/통계청,https://sgis.kostat.go.kr/,확인필요,확인필요,예,확인필요,무료 가능,연간,Polygon,예,SGIS_API_KEY,샘플 GeoJSON으로 개발 후 교체,집계구 분석,정식 이용조건 확인 필요
A,기준공간,주소 좌표 변환,주소기반산업지원서비스/VWorld,https://www.vworld.kr/,API 가능,예,예,확인필요,무료 가능,수시,Point,예,VWORLD_API_KEY,좌표 컬럼 있는 데이터 우선 사용,검색/지도,주소만 있는 시설 데이터 보강용
A,실시간,기상 현황,기상청 단기예보/초단기실황,https://www.data.go.kr/,API 가능,예,예,자동승인 가능,무료,실시간/시간,None,아니오,DATA_GO_KR_API_KEY,Mock 응답으로 개발,메인 대시보드,금천구 대표 좌표 기준
A,실시간,미세먼지/초미세먼지,서울 열린데이터광장,https://data.seoul.go.kr/,API 가능,예,예,확인필요,무료,시간,Point/Area,예,SEOUL_OPEN_API_KEY,샘플 JSON으로 개발,대기 현황,측정소 기준시각 표시 필수
A,실시간,지하철 도착정보,서울 열린데이터광장,https://data.seoul.go.kr/,API 가능,예,예,확인필요,무료,실시간,Point,예,SEOUL_OPEN_API_KEY,역 목록 정적 데이터로 시작,교통 현황,가산디지털단지/독산/금천구청역 우선
A,실시간,버스 정류소/도착정보,서울 열린데이터광장/TOPIS,https://data.seoul.go.kr/,API 가능,예,예,확인필요,무료,실시간,Point,예,SEOUL_OPEN_API_KEY,정류소 정적 데이터 우선,교통 현황,실시간 도착은 2차 연동 가능
A,실시간,교통 사고/통제/공사,서울 TOPIS/공공데이터포털,https://www.data.go.kr/,API 가능,예,예,확인필요,무료,실시간,Line/Point,예,DATA_GO_KR_API_KEY,Mock 이벤트로 개발,교통 현황,원천별 제공 범위 확인 필요
A,안전,화재/구조/구급 출동 통계,소방청/서울소방재난본부,https://www.data.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,일/월,Area,예,DATA_GO_KR_API_KEY,월별 통계 샘플로 개발,재난안전,실시간 출동 데이터는 공개 범위 제한 가능
A,안전,민방위 대피소,공공데이터포털,https://www.data.go.kr/,API/파일 가능,예,예,자동승인 가능,무료,수시,Point,예,DATA_GO_KR_API_KEY,CSV 샘플로 개발,안전지도,위치정보 품질 확인 필요
A,안전,자동심장충격기 AED,공공데이터포털,https://www.data.go.kr/,API 가능,예,예,자동승인 가능,무료,수시,Point,예,DATA_GO_KR_API_KEY,샘플 JSON으로 개발,응급지도,운영시간/관리기관 표시 권장
A,생활,병원/의원,건강보험심사평가원/공공데이터포털,https://www.data.go.kr/,API 가능,예,예,자동승인 가능,무료,수시,Point,예,DATA_GO_KR_API_KEY,샘플 JSON으로 개발,생활지도,진료과목 필터 필요
A,생활,약국,건강보험심사평가원/공공데이터포털,https://www.data.go.kr/,API 가능,예,예,자동승인 가능,무료,수시,Point,예,DATA_GO_KR_API_KEY,샘플 JSON으로 개발,생활지도,야간/휴일 운영 여부 별도 확인
A,생활,어린이집,공공데이터포털/보육 포털,https://www.data.go.kr/,API/파일 가능,예,예,자동승인 가능,무료,월/수시,Point,예,DATA_GO_KR_API_KEY,CSV 샘플로 개발,보육지도,정원/현원은 공개 범위 확인
A,생활,유치원/초중고 학교,교육부/서울시교육청/공공데이터포털,https://www.data.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,연간,Point,예,DATA_GO_KR_API_KEY,정적 파일로 개발,교육지도,학교급 필터 필요
A,생활,도서관/작은도서관,서울/금천 열린데이터,https://data.geumcheon.go.kr/,파일 가능,아니오,확인필요,아니오,무료,수시,Point,예,,수동 CSV 업로드,문화지도,운영시간 정보 우선
A,생활,공영주차장,서울/금천 열린데이터,https://data.geumcheon.go.kr/,API/파일 가능,확인필요,확인필요,확인필요,무료,수시,Point,예,SEOUL_OPEN_API_KEY,정적 주차장 목록으로 개발,교통생활지도,실시간 잔여면은 별도 데이터 필요
A,생활,전기차 충전소,환경부/공공데이터포털,https://www.data.go.kr/,API 가능,예,예,자동승인 가능,무료,실시간/일,Point,예,DATA_GO_KR_API_KEY,샘플 JSON으로 개발,생활지도,충전 가능 상태는 API별 확인
A,상권,상가업소 정보,소상공인시장진흥공단,https://www.data.go.kr/data/15012005/openapi.do,API 가능,예,예,자동승인 가능,무료,실시간/수시,Point,예,DATA_GO_KR_API_KEY,샘플 JSON/CSV로 개발,상권분석,업종 분류와 좌표가 있어 MVP 핵심
A,인구,주민등록 인구,행안부/서울 열린데이터,https://data.seoul.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,월,Area,예,SEOUL_OPEN_API_KEY,월별 CSV 샘플로 개발,인구 대시보드,행정동 기준 우선
A,인구,세대수/1인 가구,서울 열린데이터/통계청,https://data.seoul.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,월/연,Area,예,SEOUL_OPEN_API_KEY,월별 CSV 샘플로 개발,주거/복지 분석,집계구 수준은 통계청 확인 필요
A,행정,예산/집행 현황,지방재정365/금천구,https://www.lofin365.go.kr/,파일/화면 가능,확인필요,확인필요,확인필요,무료,월/분기,None,아니오,,수동 입력/CSV 업로드,구정현황,처음에는 관리자 업로드 방식 권장
B,상권,서울 상권 영역/골목상권,서울 상권분석서비스/서울 열린데이터,https://golmok.seoul.go.kr/,파일/API 확인필요,확인필요,예,확인필요,무료 가능,월/분기,Polygon,예,SEOUL_OPEN_API_KEY,샘플 상권 GeoJSON으로 개발,상권 경계 분석,상권 경계 확보가 관건
B,상권,업종별 점포 밀도,상가업소 정보 가공,https://www.data.go.kr/data/15012005/openapi.do,자체가공,아니오,아니오,아니오,무료,일/월,Grid/Area,예,,상가 샘플 데이터로 집계,상권 히트맵,PostGIS 집계 기능 필요
B,상권,반경 내 경쟁점포 분석,자체 분석,internal,자체가공,아니오,아니오,아니오,무료,실시간 계산,Buffer,예,,샘플 좌표로 계산,상권분석,선택 지점 반경 100m~1km
B,상권,지하철역/정류장 접근성,서울 교통 데이터 가공,https://data.seoul.go.kr/,자체가공,아니오,아니오,아니오,무료,월,Point/Buffer,예,,정적 교통 POI로 계산,입지분석,도보권 지표로 변환
B,상권,생활인구/생활이동,서울 열린데이터광장,https://data.seoul.go.kr/,API/파일 가능,확인필요,예,확인필요,무료 가능,월,Area,예,SEOUL_OPEN_API_KEY,샘플 CSV로 개발,배후수요 분석,데이터 크기와 이용조건 확인 필요
B,부동산,공동주택 실거래/매매지수,국토교통부/한국부동산원,https://www.data.go.kr/,API 가능,예,예,자동승인 가능,무료,월,Point/Area,예,DATA_GO_KR_API_KEY,샘플 JSON으로 개발,부동산 지표,개별 주소 노출 방식 유의
B,부동산,건축물대장/건축 인허가,국토교통부/세움터/공공데이터,https://www.data.go.kr/,API 가능,예,예,확인필요,무료,수시,Point/Polygon,예,DATA_GO_KR_API_KEY,샘플 JSON으로 개발,도시변화,데이터량이 커서 배치 수집 권장
B,복지,경로당/복지관/장애인시설,금천구/서울 열린데이터,https://data.geumcheon.go.kr/,파일 가능,확인필요,확인필요,아니오,무료,수시,Point,예,,수동 CSV 업로드,복지지도,카테고리 체계 먼저 확정
B,환경,공원/녹지/둘레길,금천구/서울 열린데이터,https://data.geumcheon.go.kr/,파일 가능,확인필요,확인필요,아니오,무료,수시,Point/Polygon/Line,예,,수동 CSV/GeoJSON 업로드,여가/환경지도,안양천/호암산 등 금천 특화 가능
B,환경,무더위쉼터/한파쉼터,서울/행안부/금천구,https://www.data.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,계절/수시,Point,예,DATA_GO_KR_API_KEY,CSV 샘플로 개발,안전지도,계절별 노출 제어
B,생활,공공와이파이,서울 열린데이터,https://data.seoul.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,수시,Point,예,SEOUL_OPEN_API_KEY,CSV 샘플로 개발,생활지도,시설명/주소/위치 중심
B,생활,무인민원발급기,금천구/공공데이터포털,https://www.data.go.kr/,API/파일 가능,확인필요,예,확인필요,무료,수시,Point,예,DATA_GO_KR_API_KEY,CSV 샘플로 개발,민원지도,운영시간/발급가능 서류 표시
B,일자리,채용/일자리 정보,워크넷/서울일자리포털,https://www.work.go.kr/,API 가능,확인필요,예,확인필요,무료,일,Point/Area,예,WORKNET_API_KEY,Mock 채용 목록으로 개발,일자리맵,금천구 소재 기업 필터
B,경제,사업체/종사자 통계,통계청/서울시,https://kosis.kr/,파일/API 가능,확인필요,예,확인필요,무료,연간,Area,예,KOSIS_API_KEY,연간 CSV로 개발,지역경제,행정동/산업분류 기준
C,민원,민원 분야별 현황,금천구 내부/국민신문고 통계,internal,내부자료,아니오,아니오,아니오,내부,월,Area,예,,관리자 업로드,민원 대시보드,개인정보 비식별화 필수
C,행정,공약/주요사업 이행률,금천구 내부,internal,내부자료,아니오,아니오,아니오,내부,월/분기,None,아니오,,관리자 입력,열린구청장실,강남 플랫폼 참조 기능
C,홍보,보도자료/구정뉴스,금천구 홈페이지/RSS,https://www.geumcheon.go.kr/,크롤링/API 확인필요,아니오,아니오,아니오,무료,일,None,아니오,,수동 등록부터 시작,메인 뉴스,크롤링은 이용정책 확인 후 진행
C,분석,상권 위험도/성장성 점수,자체 분석,internal,자체가공,아니오,아니오,아니오,무료,월,Area,예,,규칙 기반 점수로 시작,고급 상권분석,매출 데이터 없이 점수 해석 주의
C,분석,시설 접근성 점수,자체 분석,internal,자체가공,아니오,아니오,아니오,무료,월,Grid/Area,예,,거리 기반 점수로 시작,생활편의 분석,집계구별 서비스 사각지대 발굴
